"field_0";"date";"open";"high";"low";"close";"volume";"market_cap";"unit_volume";"rolling20_d";"date_2";"bitfinex_shorts";"bitfinex_longs";"bitfinex_volume";"total__crypto__cap";"bitcoin_dominance"
187;1992;3311.75;3329.56;3206.54;3242.48;4372763663;56494400000.0;1348.59;1473.64;"1992";37022.1;30482.2;28559.0;102000000000.0;55.22
186;1991;3244.0;3275.38;3191.3;3236.76;3551763561;56400700000.0;1097.32;1443.4;"1991";38940.2;33626.1;17890.0;102000000000.0;55.24
185;1990;3236.27;3305.75;3233.82;3252.84;3744248994;56685400000.0;1151.07;1415.26;"1990";40061.6;35341.3;19107.0;103000000000.0;54.95
184;1989;3253.12;3597.92;3253.12;3545.86;5409247918;61798900000.0;1525.51;1413.03;"1989";38605.2;35720.2;35728.0;114000000000.0;54.32
183;1988;3544.76;3701.35;3487.17;3696.06;5911325473;64422600000.0;1599.36;1407.5;"1988";34625.2;30741.5;29431.0;120000000000.0;53.87
182;1987;3706.82;3949.32;3687.23;3745.95;6810689119;65299100000.0;1818.15;1422.41;"1987";38428.2;25460.0;55272.0;121000000000.0;53.95
181;1986;3742.2;4191.23;3728.97;4134.44;8927129279;72078200000.0;2159.21;1455.1;"1986";36102.7;25742.2;65871.0;135000000000.0;53.48
180;1985;4133.7;4198.43;3850.95;3896.54;7206015706;67937600000.0;1849.34;1483.8;"1985";34412.3;26109.6;45527.0;128000000000.0;53.15
179;1984;3898.08;4014.18;3855.74;4014.18;5605823233;69997500000.0;1396.51;1490.06;"1984";35322.9;26801.1;19531.0;132000000000.0;53.1
178;1983;4020.99;4085.72;3976.41;3998.98;6151275490;69741200000.0;1538.21;1501.62;"1983";33838.6;26480.7;24473.0;134000000000.0;51.94
177;1982;4000.33;4271.79;4000.33;4078.6;7240968501;71137600000.0;1775.36;1526.86;"1982";31835.7;27350.6;38009.0;138000000000.0;51.42
176;1981;4081.03;4089.56;3760.02;3815.49;6158207293;66556000000.0;1614.0;1536.93;"1981";33601.5;26041.3;33727.0;129000000000.0;51.63
175;1980;3819.67;3893.36;3769.86;3857.3;5326547918;67292800000.0;1380.9;1522.5;"1980";31450.1;25747.6;19131.0;130000000000.0;51.7
174;1979;3854.69;3874.42;3645.45;3654.83;5130222366;63768800000.0;1403.68;1492.75;"1979";31861.0;25574.8;23614.0;121000000000.0;52.86
173;1978;3653.13;3956.14;3642.63;3923.92;5631554348;68471800000.0;1435.19;1488.2;"1978";31728.6;26713.1;26918.0;132000000000.0;51.75
172;1977;3932.49;3963.76;3820.41;3820.41;4991655917;66672200000.0;1306.58;1485.09;"1977";32077.9;28766.8;18707.0;129000000000.0;51.58
171;1976;3822.38;3901.91;3797.22;3865.95;4770578575;67475500000.0;1234.0;1475.11;"1976";33524.5;28767.9;17734.0;131000000000.0;51.69
