Date,Shorts,Longs,Volume
20190107,24343.6241,33339.2186,11253
20190106,24878.8269,3445.5513,25180
20190105,28747.9277,3351.0759,14874
20190104,30590.2797,3341.9537,13229
20190103,32969.132,32361.1642,10520
20190102,33164.5824,31977.4362,19438
20190101,33507.3441,29751.7319,13848
20181231,32044.9902,29532.9814,15793
20181230,33524.4892,28767.9337,17734
20181229,32077.9314,28766.7578,18707
20181228,31728.5823,26713.0566,26918
20181227,31861.029,25574.8188,23614
20181226,31450.1451,25747.5834,19131
20181225,33601.478,26041.3315,33727
20181224,31835.6855,27350.5563,38009
20181223,33838.6146,26480.6561,24473
20181222,35322.8667,26801.0574,19531
20181221,34412.3093,26109.6207,45527
20181220,36102.7071,25742.2505,65871
20181219,38428.228,25459.9762,55272
20181218,34625.2197,30741.5471,29431
20181217,38605.2128,35720.1893,35728
20181216,40061.6474,35341.26158,19107
20181215,38940.2442,33626.1283,17890
20181214,37022.1052,30482.1503,28559
20181213,36324.9202,28749.0015,22249
20181212,36438.6559,29612.8712,20931
20181211,37476.5207,28677.9819,24048
20181210,36015.6029,26835.5428,22610
20181209,37718.02,27371.4834,25081
20181208,38622.0596,27075.8812,39087
20181207,42244.313,28121.2169,74094
20181206,38574.1566,27804.1622,58288
20181205,36137.1512,26960.0699,28430
20181204,34537.1701,26661.6085,33692
20181203,36040.523,26374.6405,36856
20181202,33982.5687,27718.2348,24479
20181201,33994.8716,27363.0608,27504
20181130,34954.054,28886.8309,42454
20181129,35638.057,28307.4812,41125
20181128,33710.1234,28086.8213,65259
20181127,35216.6399,29894.764,46273
20181126,33824.5475,27147.1369,64117
20181125,30214.1201,27695.9285,82180
20181124,32976.2463,27457.7747,51143
20181123,27341.711,25992.8314,36102
20181122,28478.0731,25651.7127,28885
20181121,30741.9326,27204.8795,44377
20181120,31602.8003,27129.902,117312
20181119,23606.4851,29916.0634,74206
20181118,23158.2263,27075.5458,9552
20181117,22300.7513,26765.7069,7999
20181116,23259.1774,26600.9608,18455
20181115,24945.1312,26360.1566,49913
20181114,25716.1293,25872.6714,69299
20181113,19973.4942,24089.8338,10132
20181112,20194.855,24056.3698,7299
20181111,20425.9611,24047.6158,7343
20181110,20487.4341,24510.5541,3253
20181109,20709.7882,24275.2592,10458
20181108,20785.3876,24654.4176,11620
20181107,21052.1886,25370.3037,10727
20181106,21901.0483,24270.4189,7316
20181105,21728.4438,24090.026,4815
20181104,22279.0904,23816.5345,8995
20181103,2476.5865,23232.7717,11440
20181102,27069.6382,22775.1892,8077
20181101,28902.6306,23290.9512,9159
20181031,30307.4536,23621.5123,9959
20181030,31676.4783,23060.7438,10740
20181029,32393.6698,22424.5576,6843
20181028,31163.1945,23614.3365,6971
20181027,31241.5269,23213.2546,7425
20181026,31611.67089,22272.4644,8712
20181025,31205.9084,22129.7951,8523
20181024,30603.4181,22788.5613,8864
20181023,30402.8501,21083.7504,6073
20181022,32337.9709,20637.2336,4420
20181021,32299.1933,20201.191,4648
20181020,33309.1661,20139.4204,11239
20181019,33815.5653,20112.4993,8882
20181018,35682.4782,21804.8297,15665
20181017,35022.982,21937.5404,85004
20181016,34303.6942,22075.7842,5818
20181015,32860.2061,21414.7839,10405
20181014,37496.6374,25351.1095,41614
20181013,35147.9979,25433.5812,13831
20181012,34981.3004,25105.0969,8062
20181011,35383.3986,25301.1396,12699
20181010,32943.7115,27537.4029,5816
20181009,32392.454,28406.2843,5806
20181008,32522.9244,29098.886,12448
20181007,31273.5916,25809.24,11472
20181006,30901.1507,26070.3463,14574
20181005,31017.1738,27239.5254,12037
20181004,30913.6731,26582.9395,10358
20181003,32088.9752,26720.1718,8494
20181002,31556.15,27213.7792,17306
20181001,30986.4764,27193.1394,27893
20180930,30164.6793,27598.4433,18368
20180929,30337.843,26952.4398,20238
20180928,28816.3033,29730.6632,17767
20180927,30170.7654,27634.0571,8514
20180926,28705.4614,26238.2032,18261
